"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"860Z200US10001","ZCTA5 10001","14273","830","7.2","1.9","3.4","1.1","5.4","2.2","3.3","1.1","7.4","2.2","11.5","2.8","11.2","2.2","14.9","2.8","10.5","2.3","25.2","3.3","101409","11816","170154","17586","22.5","(X)","(X)","(X)","(X)","(X)","4256","524","7.3","3.8","0.0","0.9","4.5","3.9","3.3","2.2","7.5","5.2","9.8","4.7","7.8","3.1","12.1","5.2","7.9","4.0","39.8","7.4","142042","23428","258526","53596","(X)","(X)","28.1","(X)","(X)","(X)","2932","498","1.0","1.2","0.0","1.3","4.4","4.7","1.7","2.3","7.8","5.9","6.5","4.7","7.5","3.5","13.0","6.4","10.7","5.0","47.4","9.2","193302","56892","N","N","(X)","(X)","(X)","(X)","(X)","(X)","10017","822","7.3","1.9","4.8","1.5","5.8","2.7","3.4","1.3","7.4","2.4","12.2","3.8","13.0","2.9","15.7","3.2","11.4","2.9","19.0","3.3","89723","9344","131592","11695","(X)","(X)","(X)","(X)","20.1","(X)",
"860Z200US10002","ZCTA5 10002","34737","1319","13.0","2.0","11.8","2.3","12.9","2.1","10.0","2.3","9.1","1.6","11.2","1.7","9.2","1.6","9.2","1.4","4.4","0.9","9.1","1.0","37093","3148","76115","3723","38.3","(X)","(X)","(X)","(X)","(X)","16914","1029","8.3","1.9","8.9","3.9","14.5","2.9","13.1","4.2","11.3","2.6","12.5","2.2","9.0","1.8","8.0","1.9","4.4","1.4","10.1","1.7","38815","4243","82382","7013","(X)","(X)","41.9","(X)","(X)","(X)","10194","859","3.2","1.5","10.0","5.9","13.9","4.5","13.4","6.3","8.6","2.8","10.0","2.6","10.6","2.3","10.8","2.8","5.4","2.1","13.9","2.6","51689","11913","101513","11164","(X)","(X)","(X)","(X)","(X)","(X)","17823","1118","18.2","3.3","14.5","2.8","11.1","2.8","7.4","1.9","6.9","1.9","10.0","2.3","9.4","2.3","10.1","2.0","4.3","1.1","8.0","1.7","32489","5961","69003","6056","(X)","(X)","(X)","(X)","34.8","(X)",
"860Z200US10003","ZCTA5 10003","25181","951","6.8","1.8","2.2","0.9","3.3","0.9","4.3","1.1","4.2","1.3","11.9","2.2","6.9","1.3","13.3","1.9","11.8","1.7","35.4","3.2","137533","10077","222765","20794","31.1","(X)","(X)","(X)","(X)","(X)","6855","575","2.5","1.6","0.7","0.8","1.0","0.8","2.3","2.1","2.6","1.7","4.1","2.6","5.2","1.9","11.4","3.4","15.0","3.6","55.3","5.1","219957","23940","346563","46424","(X)","(X)","38.0","(X)","(X)","(X)","5932","536","0.6","0.7","0.0","0.6","1.1","1.0","2.7","2.5","2.5","1.8","3.6","2.8","5.4","2.1","10.4","3.6","15.4","4.0","58.4","4.9","240365","23664","N","N","(X)","(X)","(X)","(X)","(X)","(X)","18326","929","8.4","2.4","2.8","1.2","4.2","1.2","4.9","1.3","4.8","1.7","14.7","3.0","7.6","1.7","14.2","2.4","10.7","1.8","27.7","4.2","105808","11134","175535","25914","(X)","(X)","(X)","(X)","28.5","(X)",
"860Z200US10004","ZCTA5 10004","2113","340","2.2","1.5","0.0","1.8","0.9","1.2","1.6","1.6","0.4","0.4","2.0","1.3","6.1","5.7","13.5","6.5","14.8","9.6","58.5","8.6","216017","10041","317203","71063","38.1","(X)","(X)","(X)","(X)","(X)","1062","276","1.5","1.9","0.0","3.5","0.2","0.3","1.6","2.7","0.1","0.4","0.9","1.3","2.3","2.2","7.0","6.5","9.8","7.8","76.6","9.4","247237","19655","412109","129100","(X)","(X)","50.5","(X)","(X)","(X)","1035","273","1.5","2.0","0.0","3.6","0.2","0.3","1.6","2.7","0.1","0.4","1.0","1.3","1.6","2.1","7.1","6.7","8.9","7.9","77.9","9.5","247607","18651","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1051","270","2.9","2.4","0.0","3.5","1.5","2.4","1.6","1.7","0.7","0.7","3.1","2.2","10.6","11.0","19.9","11.2","21.0","17.5","38.7","13.0","159518","16520","218597","78738","(X)","(X)","(X)","(X)","25.7","(X)",
"860Z200US10005","ZCTA5 10005","4782","520","0.9","1.0","0.0","0.8","0.1","0.2","1.4","2.2","2.1","2.2","9.2","4.4","6.1","3.8","15.2","5.6","16.4","5.7","48.5","7.4","197188","17558","225528","20055","22.8","(X)","(X)","(X)","(X)","(X)","1311","338","0.0","2.8","0.0","2.8","0.0","2.8","0.0","2.8","0.0","2.8","2.7","4.3","9.0","6.9","10.1","6.5","11.0","7.1","67.1","11.1","250,000+","***","298091","50351","(X)","(X)","25.8","(X)","(X)","(X)","1146","287","0.0","3.2","0.0","3.2","0.0","3.2","0.0","3.2","0.0","3.2","3.1","4.8","6.3","5.5","11.6","7.7","12.6","8.0","66.4","10.7","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3471","529","1.3","1.4","0.0","1.1","0.2","0.3","2.0","3.0","2.9","3.0","11.7","5.7","5.0","4.5","17.2","7.1","18.4","7.5","41.4","9.1","185125","27684","198121","22229","(X)","(X)","(X)","(X)","21.7","(X)",
"860Z200US10006","ZCTA5 10006","1991","262","2.0","1.8","0.4","0.7","0.7","1.0","2.6","2.9","7.4","6.0","3.6","3.2","2.0","2.0","13.6","7.3","17.3","6.7","50.5","10.5","200536","24685","222594","27122","19.3","(X)","(X)","(X)","(X)","(X)","854","263","1.6","2.6","0.0","4.3","0.0","4.3","0.0","4.3","0.0","4.3","0.0","4.3","1.9","3.2","12.2","9.8","10.4","8.7","73.9","13.9","218986","58229","272242","44080","(X)","(X)","25.5","(X)","(X)","(X)","665","248","0.0","5.5","0.0","5.5","0.0","5.5","0.0","5.5","0.0","5.5","0.0","5.5","2.4","4.1","6.5","7.6","13.4","10.7","77.7","14.0","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1137","200","2.2","2.6","0.7","1.1","1.1","1.8","4.5","5.2","12.9","9.9","6.3","5.4","2.0","2.6","14.7","9.8","22.5","10.2","33.0","12.0","165901","47171","185303","33487","(X)","(X)","(X)","(X)","14.7","(X)",
"860Z200US10007","ZCTA5 10007","3246","517","2.9","2.1","1.6","1.9","0.0","1.1","2.2","2.4","1.4","1.3","1.9","2.3","4.4","3.7","7.0","4.7","17.1","7.9","61.4","9.4","250,000+","***","444574","104649","33.5","(X)","(X)","(X)","(X)","(X)","1789","469","1.1","1.4","0.0","2.1","0.0","2.1","0.0","2.1","0.0","2.1","3.1","3.9","2.7","4.5","9.1","8.0","5.1","5.7","78.9","10.2","250,000+","***","586053","162635","(X)","(X)","34.4","(X)","(X)","(X)","1685","471","1.1","1.5","0.0","2.2","0.0","2.2","0.0","2.2","0.0","2.2","3.3","4.2","2.9","4.7","6.4","7.0","4.5","5.4","81.9","11.5","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1457","308","5.2","4.0","3.5","4.2","0.0","2.5","4.9","5.2","3.1","3.0","0.5","0.7","6.5","5.4","4.5","5.0","31.8","14.7","40.0","14.3","176892","29658","262977","63267","(X)","(X)","(X)","(X)","32.4","(X)",
"860Z200US10009","ZCTA5 10009","29407","1191","12.4","2.2","7.5","1.4","6.5","1.2","5.0","1.0","7.3","1.8","10.1","2.0","10.1","2.0","13.7","2.2","7.9","2.0","19.6","2.6","77551","8516","122290","9636","26.6","(X)","(X)","(X)","(X)","(X)","10555","1101","8.2","3.1","5.5","3.1","7.4","1.7","5.7","1.3","9.6","3.0","8.0","2.9","4.1","1.8","10.4","3.5","11.0","3.9","29.9","4.8","110010","32737","165376","21616","(X)","(X)","30.8","(X)","(X)","(X)","6300","749","2.5","1.6","5.3","4.7","5.0","2.1","3.5","1.2","5.7","2.7","3.8","2.3","4.6","2.9","12.7","5.7","12.5","5.2","44.6","7.7","176044","27969","N","N","(X)","(X)","(X)","(X)","(X)","(X)","18852","1253","15.0","2.9","9.2","2.3","6.0","1.7","4.9","1.4","5.2","1.6","11.7","2.6","13.2","3.1","15.6","3.1","7.3","2.2","11.9","2.9","68564","10704","93822","7944","(X)","(X)","(X)","(X)","24.1","(X)",
"860Z200US10010","ZCTA5 10010","16207","1356","4.4","2.0","4.2","2.8","3.7","1.6","5.6","2.9","7.3","2.9","5.3","1.9","8.6","2.6","15.6","3.4","12.3","4.3","32.9","3.1","131635","18605","217670","20488","34.1","(X)","(X)","(X)","(X)","(X)","6494","894","0.5","0.7","3.9","4.8","3.1","2.4","2.3","2.2","3.3","2.0","3.5","2.3","7.6","4.2","10.9","4.5","14.4","8.5","50.5","7.6","207683","31988","315476","41846","(X)","(X)","35.7","(X)","(X)","(X)","5252","776","0.6","0.9","0.0","0.7","3.6","2.9","1.5","1.4","3.0","2.4","1.3","1.1","7.7","4.4","9.6","4.8","15.9","10.0","56.9","8.5","241176","43897","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9713","894","7.1","3.4","4.4","3.1","4.1","2.3","7.8","4.5","9.9","4.5","7.3","3.0","8.6","3.1","18.8","4.7","11.0","3.7","21.1","3.8","100658","8566","151672","21717","(X)","(X)","(X)","(X)","32.9","(X)",
